x0000,y0000
106.,0.2028049777
107.,0.5911570115
108.,0.4660179566
109.,0.2799045427
110.,0.469735399
111.,0.4613757631
112.,0.5030002485
113.,0.5439340965
114.,0.1488002534
115.,0.1690541615
116.,0.4188497066
117.,0.5883542133
118.,0.1618767847
119.,0.6277551213
120.,0.5638210571
121.,0.3062680365
122.,0.4127574312
123.,0.4454980439
124.,0.4456473399
125.,0.0696422547
126.,0.3496635828
127.,0.2666901864
128.,0.4607849254
129.,0.2763623928
130.,0.2036953194
131.,0.2088087973
132.,0.4261490461
133.,0.2490063506
134.,0.4555918968
135.,0.3387824965
136.,0.1490207985
137.,0.4559610184
138.,0.2095857634
139.,0.3754015824
140.,0.1417297626
141.,0.4784791966
142.,0.4261102792
143.,0.6354423508
144.,0.0644642596
145.,0.6209953147
146.,0.3397190632
147.,0.4556092723
148.,0.2658283930
149.,0.3170604033
150.,0.2938794623
151.,0.1207244597
152.,0.2989600301
153.,0.4872716350
154.,0.2494295719
155.,0.2988271412
156.,0.3259632349
157.,0.0983199986
158.,0.4504151016
159.,0.5073511791
160.,0.7153765929
161.,0.1549279539
162.,0.5388048956
163.,0.745221357
164.,0.5338616276
165.,0.7104971473
166.,0.2113443333
167.,0.2971088924
168.,0.3962456345
169.,0.4372940650
170.,0.5785234899
171.,0.5030664562
172.,0.6752299724
173.,0.4443145767
174.,0.5433681967
175.,0.4318367625
176.,0.2132078291
177.,0.2020967035
178.,0.3069763622
179.,0.0552407009
180.,0.3059117481
181.,0.4855400115
182.,0.5881202388
183.,0.5134966562
184.,0.4247458925
185.,0.2324658862
186.,0.6283128225
187.,0.2775441548
188.,0.5094586112
189.,0.4477926309
190.,0.2404116638
191.,0.2428136419
192.,0.5207096240
193.,0.4286678703
194.,0.4571253573
195.,0.3676624043
196.,0.0293966996
197.,0.3679541555
198.,0.3725520817
199.,0.3287123639
200.,0.4010938631
201.,0.0969893636
202.,0.4066131372
203.,0.1217255695
204.,0.3872465875
205.,0.7358987111
206.,0.1861863392
207.,0.2221698113
208.,0.6911361100
209.,0.4481541567
210.,0.3798433199
211.,0.1874258600
212.,0.6050217888
213.,0.4751681115
214.,0.3954073387
215.,0.3494652612
216.,0.5457154943
217.,0.1099151501
218.,0.633783574
219.,0.2733466173
220.,0.3719027767
221.,0.5138978571
222.,0.2709135895
223.,0.1677812685
224.,0.2520973154
225.,0.6940871779
226.,0.2065976270
227.,0.3768147268
228.,0.7584793429
229.,0.2022796512
230.,0.2271157830
231.,0.214340452
232.,0.4147353154
233.,0.1865354165
234.,0.4642658509
235.,0.5429910307
236.,-0.0004332026
237.,0.3758998076
238.,0.4259615946
239.,0.4035789166
240.,0.3387245163
241.,0.3147770569
242.,0.2421300941
243.,0.1866951467
244.,0.1829433258
245.,0.4771572228
246.,0.1636117053
247.,0.4221605744
248.,0.3156161407
249.,0.3070412529
250.,0.3900245540
251.,0.1657321445
252.,0.3815845596
253.,0.2549753695
254.,0.2305681612
255.,0.6710185025
256.,0.5156213204
257.,0.4117762615
258.,0.2796185286
259.,0.5368615840
260.,0.6285581759
261.,0.5800938105
262.,0.3735418955
263.,0.5500260774
264.,0.3377457316
265.,0.1746450418
266.,0.1437818752
267.,0.1191336461
268.,0.4030293698
269.,0.3667518648
270.,0.5319352924
271.,0.4334822296
272.,0.3483409488
273.,0.3813517576
274.,0.165224359
275.,0.6421217441
276.,0.3279668904
277.,0.3269562608
278.,0.2731142567
279.,0.2198702983
280.,0.5768490679
281.,0.4842634976
282.,0.2703971874
283.,0.2989407152
284.,0.3972463660
285.,0.3189865071
286.,0.1790197294
287.,0.7218898208
288.,0.2884300149
289.,0.2745936698
290.,0.7220599676
291.,0.4106270929
292.,0.4357422949
