x0000,y0000
1113.,-0.02
1114.,-0.0184375
1115.,-0.019375
1116.,-0.0196875
1117.,-0.019375
1118.,-0.0203125
1119.,-0.0196875
1120.,-0.0190625
1121.,-0.0190625
1122.,-0.0190625
1123.,-0.0190625
1124.,-0.02
1125.,-0.019375
1126.,-0.019375
1127.,-0.02
1128.,-0.01875
1129.,-0.019375
1130.,-0.02
1131.,-0.019375
1132.,-0.0196875
1133.,-0.019375
1134.,-0.0190625
1135.,-0.0190625
1136.,-0.0190625
1137.,-0.0196875
1138.,-0.0196875
1139.,-0.0196875
1140.,-0.0196875
1141.,-0.0190625
1142.,-0.019375
1143.,-0.0190625
1144.,-0.02
1145.,-0.0196875
1146.,-0.0196875
1147.,-0.02
1148.,-0.02
1149.,-0.0184375
1150.,-0.01875
1151.,-0.0190625
1152.,-0.02
1153.,-0.0196875
1154.,-0.0190625
1155.,-0.0184375
1156.,-0.019375
1157.,-0.02
1158.,-0.0196875
1159.,-0.0196875
1160.,-0.02
1161.,-0.018125
1162.,-0.0184375
1163.,-0.0190625
1164.,-0.019375
1165.,-0.0190625
1166.,-0.0190625
1167.,-0.0190625
1168.,-0.0190625
1169.,-0.019375
1170.,-0.019375
1171.,-0.0196875
1172.,-0.0196875
1173.,-0.0196875
1174.,-0.0190625
1175.,-0.019375
1176.,-0.0196875
1177.,-0.0190625
1178.,-0.02
1179.,-0.0190625
1180.,-0.01875
1181.,-0.019375
1182.,-0.019375
1183.,-0.019375
1184.,-0.019375
1185.,-0.019375
1186.,-0.0196875
1187.,-0.0196875
1188.,-0.0196875
1189.,-0.019375
1190.,-0.019375
1191.,-0.0196875
1192.,-0.019375
1193.,-0.02
1194.,-0.02
1195.,-0.0203125
1196.,-0.0190625
1197.,-0.019375
1198.,-0.019375
1199.,-0.0190625
1200.,-0.0190625
1201.,-0.019375
1202.,-0.0196875
1203.,-0.0190625
1204.,-0.0196875
1205.,-0.019375
1206.,-0.02
1207.,-0.02
1208.,-0.02
1209.,-0.019375
1210.,-0.0190625
1211.,-0.0190625
1212.,-0.02
1213.,-0.019375
1214.,-0.0190625
1215.,-0.019375
1216.,-0.02
1217.,-0.0196875
1218.,-0.0190625
1219.,-0.0190625
1220.,-0.0190625
1221.,-0.0190625
1222.,-0.0190625
1223.,-0.0196875
1224.,-0.0190625
1225.,-0.0190625
1226.,-0.0196875
1227.,-0.0184375
1228.,-0.0196875
1229.,-0.020625
1230.,-0.0196875
1231.,-0.0196875
1232.,-0.019375
1233.,-0.0190625
1234.,-0.019375
1235.,-0.019375
1236.,-0.0190625
1237.,-0.0196875
1238.,-0.019375
1239.,-0.0190625
1240.,-0.0190625
1241.,-0.0190625
1242.,-0.020625
1243.,-0.0196875
1244.,-0.0196875
1245.,-0.0190625
1246.,-0.0190625
1247.,-0.0196875
1248.,-0.0190625
1249.,-0.0190625
1250.,-0.0196875
1251.,-0.0190625
1252.,-0.020625
1253.,-0.0190625
1254.,-0.0196875
1255.,-0.0184375
1256.,-0.02
1257.,-0.02
1258.,-0.0190625
1259.,-0.0190625
1260.,-0.0196875
1261.,-0.0196875
1262.,-0.01875
1263.,-0.0190625
1264.,-0.01875
1265.,-0.02
1266.,-0.0196875
1267.,-0.02
1268.,-0.0190625
1269.,-0.0196875
1270.,-0.019375
1271.,-0.0190625
1272.,-0.0190625
1273.,-0.0196875
1274.,-0.01875
1275.,-0.019375
1276.,-0.0196875
1277.,-0.019375
1278.,-0.02
1279.,-0.019375
1280.,-0.0184375
1281.,-0.0190625
1282.,-0.019375
1283.,-0.019375
1284.,-0.019375
1285.,-0.019375
1286.,-0.0190625
1287.,-0.01875
1288.,-0.019375
1289.,-0.01875
1290.,-0.01875
1291.,-0.01875
1292.,-0.0184375
1293.,-0.0196875
1294.,-0.0190625
1295.,-0.0190625
1296.,-0.0190625
1297.,-0.019375
1298.,-0.02
1299.,-0.019375
1300.,-0.020625
1301.,-0.0184375
1302.,-0.019375
1303.,-0.019375
1304.,-0.0196875
1305.,-0.0190625
1306.,-0.0184375
1307.,-0.019375
1308.,-0.0190625
1309.,-0.0184375
1310.,-0.0184375
1311.,-0.0184375
1312.,-0.019375
1313.,-0.0196875
1314.,-0.0196875
1315.,-0.0196875
1316.,-0.020625
1317.,-0.01875
1318.,-0.0190625
1319.,-0.019375
1320.,-0.02
1321.,-0.02
1322.,-0.019375
1323.,-0.01875
1324.,-0.0178125000
1325.,-0.0184375
1326.,-0.019375
1327.,-0.02
1328.,-0.019375
1329.,-0.019375
1330.,-0.0184375
1331.,-0.0190625
1332.,-0.019375
1333.,-0.019375
1334.,-0.0184375
1335.,-0.02
1336.,-0.02
1337.,-0.0203125
1338.,-0.02
1339.,-0.0184375
1340.,-0.019375
1341.,-0.0190625
1342.,-0.019375
1343.,-0.0196875
1344.,-0.02
1345.,-0.02
1346.,-0.019375
1347.,-0.0190625
1348.,-0.0196875
1349.,-0.0190625
1350.,-0.0196875
1351.,-0.0184375
1352.,-0.0190625
1353.,-0.019375
1354.,-0.02
1355.,-0.019375
1356.,-0.0190625
1357.,-0.0190625
1358.,-0.0184375
1359.,-0.019375
1360.,-0.019375
1361.,-0.02
1362.,-0.0184375
1363.,-0.0196875
1364.,-0.0203125
1365.,-0.0184375
1366.,-0.02
1367.,-0.019375
1368.,-0.0190625
1369.,-0.0196875
1370.,-0.0190625
1371.,-0.0196875
1372.,-0.0190625
1373.,-0.0190625
1374.,-0.019375
1375.,-0.019375
1376.,-0.018125
1377.,-0.019375
1378.,-0.019375
1379.,-0.0196875
1380.,-0.0184375
1381.,-0.0196875
1382.,-0.0190625
1383.,-0.0190625
1384.,-0.0190625
1385.,-0.01875
1386.,-0.02
1387.,-0.02
1388.,-0.0190625
1389.,-0.0196875
1390.,-0.019375
1391.,-0.0190625
1392.,-0.019375
1393.,-0.0196875
1394.,-0.0190625
1395.,-0.0196875
1396.,-0.0196875
1397.,-0.0190625
1398.,-0.0184375
1399.,-0.02
1400.,-0.0203125
1401.,-0.019375
1402.,-0.02
1403.,-0.0190625
1404.,-0.0190625
1405.,-0.0190625
1406.,-0.019375
1407.,-0.019375
1408.,-0.0196875
1409.,-0.0196875
1410.,-0.0190625
1411.,-0.02
1412.,-0.019375
1413.,-0.0196875
1414.,-0.0190625
1415.,-0.0196875
